x_mm y_mm z_mm
-105.329006 -9.479659 -58.379344
-105.358753 9.485729 -58.087319
-105.326433 -1.590258 -57.851657
-105.289579 -19.105247 -60.396007
-105.255090 19.151299 -60.303067
-105.245722 -3.142596 -57.404153
-105.267871 3.172326 -57.815616
-105.176356 -27.332043 -63.187045
-105.197287 -4.706904 -57.478761
-105.231024 4.739400 -57.755731
-105.219216 25.650778 -62.127805
-105.118951 -11.029675 -58.344071
-105.151647 10.992639 -58.161204
-105.218921 -24.017421 -61.663806
-105.173769 24.004182 -61.788309
-105.197343 -17.457398 -59.860343
-105.177731 17.437594 -59.543292
-105.120536 6.302382 -57.476599
-105.102676 -22.345395 -61.198051
-105.140156 22.347897 -61.151121
-105.053800 -7.893727 -57.627863
-105.024306 7.869578 -57.425668
-104.974736 -20.698649 -60.380423
-104.991132 20.685922 -60.555718
-104.987307 12.609923 -58.120316
-104.989529 -15.835872 -58.964889
-104.979273 15.816659 -59.214117
-104.855679 -9.450890 -57.489795
-104.921208 0.038028 -56.680173
-104.874009 -1.577647 -56.789270
-104.939184 1.585871 -56.557080
-104.873651 3.089941 -56.930730
-104.793211 -27.200853 -62.243017
-104.792784 -25.562701 -61.680934
-104.826794 25.563340 -61.802275
-104.802270 -4.759319 -57.249388
-104.784305 -14.212219 -58.570184
-104.713254 -23.908445 -61.340793
-104.775855 -11.016235 -57.440656
-104.745118 10.997179 -57.696104
-104.717878 -17.319445 -58.953910
-104.742867 17.378664 -59.093412
-104.675842 -6.201629 -57.148262
-104.690007 6.261463 -56.910986
-104.618400 -22.263310 -60.542909
-104.623875 -7.910502 -57.282742
-104.606908 7.852277 -57.067212
-104.553404 -20.634515 -59.729222
-104.465438 -9.371531 -56.885803
-104.472876 9.384035 -56.982156
-104.521147 0.033239 -56.445847
-104.540591 -18.942616 -59.017057
-104.469657 18.973270 -59.011024
-104.427856 3.070081 -56.316142
-104.383771 -27.099003 -61.923463
-104.399699 27.125349 -61.941238
-104.382392 -28.801935 -62.681650
-104.393681 -25.537843 -61.148360
-104.382390 25.464591 -61.423363
-104.381536 4.660183 -56.344550
-104.366796 -30.453712 -63.097201
-104.382530 23.817659 -60.546779
-104.373269 -10.949739 -57.065071
-104.301754 17.292015 -57.920961
-104.259084 -6.264638 -56.513063
-104.251930 6.244161 -56.343493
-104.209529 -33.887486 -64.613832
-104.204453 -7.831321 -56.393448
-104.231037 7.787840 -56.274037
-104.202631 -20.523451 -59.002239
-104.186728 20.512594 -58.895823
-104.101470 12.546004 -56.844134
-104.193222 -15.664779 -57.599878
-104.139972 15.684993 -57.620742
-104.127228 -35.487285 -65.140791
-104.113091 9.326416 -56.030911
-104.026205 -0.014363 -55.815463
-104.071553 -18.827869 -58.354657
-104.069420 18.893348 -58.200930
-104.074504 -1.555083 -55.671401
-104.062039 1.531554 -55.634138
-104.013160 3.149943 -55.696677
-103.985665 -27.021510 -61.044647
-103.984667 27.008769 -61.239158
-103.949269 -28.726175 -62.103826
-104.019997 -25.343719 -60.341286
-103.965545 -30.372109 -62.720738
-103.958007 14.077614 -57.157056
-103.890749 4.670456 -56.106503
-103.927493 23.678760 -59.393376
-103.901613 -10.916056 -56.341630
-103.874132 10.933680 -56.271747
-103.930634 -17.288048 -57.529130
-103.895272 17.236101 -57.656273
-103.896259 -32.073371 -63.294202
